,Year,Month,Day of Week,Time of Day,Urban/Rural,Road Type,Weather Conditions,Visibility Level,Number of Vehicles Involved,Speed Limit,Driver Age Group,Driver Gender,Driver Alcohol Level,Driver Fatigue,Vehicle Condition,Pedestrians Involved,Cyclists Involved,Accident Severity,Number of Injuries,Number of Fatalities,Emergency Response Time,Traffic Volume,Road Condition,Accident Cause,Insurance Claims,Medical Cost,Economic Loss,Region,Population Density
43,2008,February,Thursday,Afternoon,Rural,Street,Foggy,493.9048371946667,2,59,41-60,Male,0.2123708788841981,0,Poor,1,0,Severe,15,3,8.41201586052895,7388.774356166529,Icy,Distracted Driving,3,40065.02331966368,46284.08951450996,South America,2737.124548603824
51,2023,September,Tuesday,Evening,Urban,Street,Clear,485.5019320523333,1,59,26-40,Male,0.1967466953734479,0,Poor,2,0,Moderate,9,1,41.64699525961999,3928.995962255661,Wet,Weather,5,23344.025692551822,64984.92008453507,North America,1667.5945039132891
62,2012,July,Wednesday,Afternoon,Urban,Street,Clear,496.0487534683938,2,30,18-25,Male,0.0658965637171918,0,Moderate,1,1,Minor,8,1,31.891190152149434,6216.426164165798,Dry,Mechanical Failure,4,37433.93967688022,83058.61060841197,North America,3147.958875917122
64,2018,July,Sunday,Afternoon,Rural,Street,Rainy,495.151999363273,1,35,41-60,Male,0.0771874446875296,1,Poor,1,1,Moderate,2,1,40.73946487082895,7544.529765084061,Snow-covered,Distracted Driving,6,16005.444813047669,1011.1757317416266,South America,4014.389711409986
112,2006,January,Saturday,Night,Rural,Highway,Clear,387.8461458396137,4,116,26-40,Male,0.2334290585674825,0,Moderate,2,0,Moderate,4,4,41.781632914266815,9530.32203545414,Dry,Distracted Driving,5,27186.84946754573,8077.162379220173,Europe,3759.8113312253736
120,2007,March,Monday,Evening,Urban,Main Road,Foggy,294.3094579436164,4,68,18-25,Female,0.2386023791005344,1,Good,1,1,Moderate,17,1,26.936946787706404,7731.670607258431,Dry,Distracted Driving,0,49762.72119213148,80242.00990538606,North America,276.817618172203
133,2002,January,Wednesday,Night,Rural,Highway,Windy,75.37819178452885,1,77,61+,Male,0.0955197159082568,0,Good,1,2,Severe,9,2,53.75846392518183,2361.2533324024043,Snow-covered,Weather,9,33301.247251422625,17802.55705765783,North America,2678.2548392193867
139,2000,January,Thursday,Evening,Urban,Highway,Rainy,392.2716998872751,1,68,61+,Female,0.2236985253561171,1,Poor,1,2,Moderate,11,4,59.49514247902506,3594.6907678967414,Dry,Drunk Driving,4,7044.649088795663,70164.90255183236,Asia,823.9144194706814
147,2006,February,Wednesday,Afternoon,Urban,Main Road,Snowy,219.36275136566763,2,54,<18,Male,0.2286420479144448,0,Poor,1,1,Minor,16,4,21.562419761235507,5251.707871231763,Dry,Speeding,2,43205.13511638788,57020.033857779854,Asia,2462.47807507182
163,2002,April,Tuesday,Evening,Urban,Highway,Foggy,348.7128847297494,1,40,26-40,Male,0.213898800328103,1,Poor,1,2,Moderate,0,2,36.692032545315314,290.92496205376256,Icy,Distracted Driving,8,45032.34918006241,79052.65143339105,Asia,3577.0105071484804
172,2016,January,Monday,Morning,Urban,Main Road,Foggy,401.90636647250926,4,109,61+,Female,0.1899879005291299,1,Good,1,2,Minor,12,2,54.62761640596336,4277.677390693727,Icy,Speeding,4,31139.200691595397,62612.84703590808,Europe,4618.485621508961
179,2007,October,Sunday,Afternoon,Rural,Main Road,Rainy,84.99853456389687,1,88,41-60,Male,0.030034740869144,0,Good,0,0,Moderate,14,1,11.054804696783762,1707.5378291847346,Icy,Mechanical Failure,0,1961.6953828811456,9051.246530217402,North America,1919.2459412581948
181,2010,November,Thursday,Night,Urban,Highway,Windy,140.72030697925334,2,72,<18,Female,0.0185261010569706,0,Moderate,1,2,Severe,16,4,25.97929252527942,3969.510582100269,Snow-covered,Weather,2,43631.82176655394,79041.44169331485,North America,1024.9326473689257
184,2006,February,Wednesday,Night,Rural,Street,Windy,68.49719345971532,3,67,26-40,Male,0.0875148753896817,0,Moderate,0,2,Moderate,6,1,6.2171292469782165,8092.476996369555,Dry,Mechanical Failure,3,1378.2740411567347,75561.20011583234,Asia,1486.9735682520625
194,2002,April,Wednesday,Afternoon,Rural,Street,Foggy,442.2781452808435,1,65,<18,Female,0.1291017710021357,0,Good,0,2,Minor,4,1,34.141964815241096,3434.1446741238324,Snow-covered,Weather,7,47970.520296914205,60369.54398144349,Asia,3297.125586295957
207,2002,March,Wednesday,Morning,Urban,Highway,Rainy,456.3196635115725,3,59,41-60,Female,0.2481176957082119,1,Good,1,0,Minor,7,3,38.23275595884764,5631.567886211243,Icy,Speeding,0,31536.076226024885,28051.049541874305,Australia,1567.308052810023
228,2016,November,Wednesday,Morning,Rural,Highway,Rainy,187.07028509713223,1,82,18-25,Female,0.2075712626655652,1,Poor,2,2,Severe,1,3,43.749427438944295,9280.917697307335,Dry,Speeding,5,34550.39452435287,15759.5444030206,North America,1386.4253298908036
230,2012,May,Friday,Afternoon,Rural,Main Road,Clear,292.9654769385893,3,69,61+,Female,0.1264701244887615,1,Moderate,2,2,Minor,2,3,59.93699940364529,2908.033151214798,Dry,Mechanical Failure,5,43597.17509867383,38465.94433744763,Asia,2187.2615084575045
252,2021,April,Sunday,Morning,Rural,Highway,Clear,69.16239452505586,1,63,61+,Female,0.1910513235276583,1,Moderate,0,2,Moderate,4,1,40.02545781538834,8784.98780821541,Icy,Weather,8,20393.91522311156,30769.237632511748,Asia,3357.8886615023853
258,2016,January,Monday,Evening,Urban,Main Road,Clear,122.60403434944376,3,33,41-60,Female,0.1319651698979699,0,Good,1,0,Minor,17,0,33.21510066744209,3293.8755520414734,Icy,Weather,9,33180.62352427814,98175.32185369144,South America,3439.5795160182056
273,2019,July,Wednesday,Afternoon,Rural,Street,Windy,355.48427214755293,4,47,41-60,Female,0.2469501937736269,1,Good,1,0,Moderate,12,4,27.695330225484973,458.1483094287674,Icy,Distracted Driving,2,39639.96043931967,53557.78088661676,South America,3006.39050766972
275,2000,March,Tuesday,Evening,Rural,Highway,Clear,337.98466663338013,2,102,18-25,Male,0.0334679150192197,1,Moderate,1,2,Moderate,7,3,25.33105951444328,5061.79271989958,Wet,Weather,3,39959.35861823845,66056.9347220696,Australia,2087.935930222665
281,2021,March,Saturday,Afternoon,Urban,Highway,Foggy,124.6673610380038,3,60,26-40,Female,0.0640295599566884,1,Good,1,0,Severe,15,4,13.916288308059029,4748.22962508998,Icy,Distracted Driving,2,7394.470913147318,74718.00493562149,Australia,3835.171753188132
282,2003,February,Sunday,Evening,Urban,Highway,Clear,300.3905113492709,4,64,61+,Male,0.2132839163338847,0,Poor,2,1,Minor,6,3,21.24452254641957,3499.089858700606,Snow-covered,Mechanical Failure,8,41812.41631794584,16703.36121527056,Australia,2215.7172674755984
301,2013,November,Saturday,Afternoon,Urban,Main Road,Foggy,211.45158126018103,2,40,41-60,Male,0.0201811404110031,0,Good,0,1,Minor,11,1,35.61186181733272,7542.734624561698,Dry,Speeding,5,46799.07724217713,65388.98670602851,Australia,1942.0630959890689
313,2022,March,Tuesday,Evening,Urban,Street,Windy,128.5620713807604,4,114,26-40,Female,0.2222361792428332,0,Moderate,1,2,Minor,13,2,12.28486487799564,3424.1459598038878,Icy,Speeding,7,28753.97469959014,48206.768808896726,North America,1801.625769690993
316,2009,May,Thursday,Afternoon,Urban,Street,Clear,121.59274948583094,3,112,<18,Female,0.0064265327879596,0,Good,2,0,Minor,5,1,24.044992546758785,177.1617561040115,Snow-covered,Drunk Driving,4,12334.797433947486,55641.01602337013,Europe,307.1929075099735
319,2009,October,Tuesday,Night,Urban,Main Road,Snowy,474.658414135888,2,68,18-25,Male,0.0109495381707012,0,Moderate,0,1,Severe,19,1,25.96579644098049,6992.182516034689,Wet,Weather,3,49843.59237691316,23031.45225568041,Australia,4533.474825564054
346,2013,August,Saturday,Afternoon,Rural,Street,Snowy,198.7175453526754,3,102,26-40,Male,0.0089287456171121,0,Good,0,2,Minor,14,3,23.662128936530884,6704.839932976124,Wet,Distracted Driving,8,30995.37483052616,93317.32321475874,North America,550.3291043076322
349,2022,June,Friday,Night,Urban,Main Road,Rainy,389.8752737747673,4,59,18-25,Female,0.1225704610709853,1,Moderate,2,0,Moderate,19,4,54.6942464877171,3821.5749603351696,Snow-covered,Drunk Driving,0,28360.509979641727,22649.038229424124,Australia,452.9695252139549
351,2020,June,Tuesday,Afternoon,Rural,Street,Snowy,480.4562107808735,2,99,18-25,Male,0.2087622300895411,1,Poor,1,0,Severe,8,2,21.709735664906862,8383.373332242982,Snow-covered,Speeding,8,11920.384813495652,18076.379224619843,North America,1479.40014645651
356,2020,May,Tuesday,Evening,Urban,Highway,Snowy,127.77937950303236,2,42,<18,Male,0.1504872650299288,0,Poor,2,2,Minor,18,4,12.620232188900092,2167.745773000916,Wet,Mechanical Failure,0,5514.367619316573,17021.66290712625,Australia,4035.681885028645
359,2012,May,Sunday,Morning,Rural,Main Road,Snowy,298.9893679963917,4,61,18-25,Male,0.0697479585308036,0,Good,0,2,Severe,14,0,45.31858461594692,7705.796510089659,Wet,Drunk Driving,5,10246.94780252982,54492.05071577752,South America,1316.7739040938136
371,2023,July,Saturday,Evening,Rural,Main Road,Foggy,249.40419042176555,1,41,41-60,Male,0.038540574753396,1,Good,1,2,Severe,10,1,57.81770193347656,5144.714727780272,Wet,Drunk Driving,7,26730.710052373684,13606.734675192462,South America,3068.159689713354
373,2003,April,Saturday,Night,Urban,Street,Rainy,147.95518307080846,2,86,26-40,Male,0.0225749796382604,0,Moderate,0,1,Moderate,14,1,50.64740533747262,8630.849560148248,Wet,Speeding,9,25836.89154300201,80196.52713149568,South America,4665.960078030187
389,2021,February,Tuesday,Night,Rural,Main Road,Clear,395.42235932514416,2,85,18-25,Female,0.0528849118696183,1,Good,1,0,Moderate,8,3,7.881371849209147,7984.473227746917,Dry,Drunk Driving,1,2591.01267624191,65981.56351963317,Asia,4886.219307112733
403,2009,December,Sunday,Night,Rural,Main Road,Windy,358.1504121856773,3,100,<18,Male,0.0044851717413074,0,Poor,0,1,Moderate,1,1,12.043966096286356,3017.298774764238,Snow-covered,Weather,6,31885.804247879205,79600.66967365709,South America,1513.2942421921969
420,2024,December,Tuesday,Afternoon,Rural,Highway,Windy,298.9150337173787,3,56,41-60,Female,0.0973344332301195,0,Poor,0,1,Severe,1,2,39.70393225538022,9657.30596808068,Icy,Speeding,7,42129.571101534064,2170.689000299847,Europe,315.64772659594905
424,2018,July,Thursday,Afternoon,Rural,Main Road,Foggy,77.71162109873653,3,30,41-60,Female,0.148509188937048,1,Good,2,2,Severe,9,2,9.797934286722487,9300.755298463484,Dry,Speeding,5,18085.3015712444,45967.39482560581,Asia,332.1615087643184
456,2009,April,Saturday,Night,Urban,Highway,Foggy,51.26497743181832,4,54,61+,Male,0.0870471281298814,0,Moderate,0,2,Severe,6,0,7.394594270144943,272.1543097182139,Dry,Speeding,2,41618.00865715436,13777.26305672322,Australia,1056.5433066810654
