,Year,Month,Day of Week,Time of Day,Urban/Rural,Road Type,Weather Conditions,Visibility Level,Number of Vehicles Involved,Speed Limit,Driver Age Group,Driver Gender,Driver Alcohol Level,Driver Fatigue,Vehicle Condition,Pedestrians Involved,Cyclists Involved,Accident Severity,Number of Injuries,Number of Fatalities,Emergency Response Time,Traffic Volume,Road Condition,Accident Cause,Insurance Claims,Medical Cost,Economic Loss,Region,Population Density
4,2002,July,Tuesday,Afternoon,Rural,Highway,Rainy,348.34484981036843,1,98,41-60,Male,0.1558415905015216,1,Poor,0,1,Moderate,13,4,18.318249730469923,3843.19146253768,Icy,Distracted Driving,8,15605.293920643368,13584.06075881082,South America,3883.645634473736
10,2017,July,Wednesday,Night,Rural,Highway,Foggy,380.96947262785153,1,30,<18,Male,0.0296708336501105,1,Moderate,1,0,Severe,1,1,16.89917349082605,578.0305755267683,Snow-covered,Distracted Driving,2,14028.798628395782,62926.26259767492,Europe,4706.646449293041
13,2008,September,Thursday,Evening,Rural,Main Road,Snowy,166.5240590955179,3,112,18-25,Male,0.1084102595950501,1,Good,2,2,Minor,0,2,54.35761332256385,143.55852675356016,Icy,Drunk Driving,4,37527.81373886766,56080.8851323449,Asia,3269.7775846285867
21,2004,December,Wednesday,Morning,Urban,Street,Rainy,110.10652624741932,1,57,61+,Male,0.1009692275445069,1,Good,1,1,Moderate,10,0,20.13185548986264,8767.695369561477,Wet,Mechanical Failure,8,6400.221026771675,17317.69896345926,Asia,4080.562576893092
32,2002,August,Wednesday,Morning,Rural,Main Road,Windy,337.69740981102785,4,81,61+,Female,0.0596335600579729,0,Poor,1,1,Minor,0,4,50.87809552040349,2526.0309964115977,Wet,Speeding,9,39027.10402345512,65932.21671226321,Asia,2216.1815724039484
36,2009,April,Saturday,Night,Urban,Highway,Rainy,315.128083443983,3,72,26-40,Female,0.2166595325355168,0,Poor,0,1,Minor,11,4,54.10329735648414,5022.489062000085,Dry,Weather,8,36061.57146407058,42435.030384294354,Europe,4683.557076932717
42,2020,May,Wednesday,Afternoon,Urban,Highway,Foggy,178.98888790000018,3,45,18-25,Male,0.1786867992223771,1,Moderate,2,2,Moderate,17,3,35.70077570306326,3813.490652660128,Dry,Distracted Driving,7,37361.47799244688,56611.275564210526,Australia,921.9397720044396
48,2022,September,Thursday,Afternoon,Urban,Main Road,Foggy,71.61287512300166,3,30,41-60,Female,0.1329106886235481,0,Good,0,2,Moderate,8,3,31.94903646525217,8474.344109088037,Icy,Speeding,0,33890.90974921152,32280.57397197237,Australia,2543.804950564916
49,2003,November,Tuesday,Evening,Rural,Main Road,Rainy,67.6908734104397,4,110,26-40,Female,0.0889273357065969,1,Poor,2,0,Minor,8,0,19.611582627239635,7736.10407761147,Snow-covered,Mechanical Failure,8,24879.84851806202,56441.57089181059,Europe,4083.483879167155
54,2016,March,Saturday,Afternoon,Rural,Street,Rainy,381.5561358514093,1,116,<18,Female,0.0017268295107535,1,Poor,0,2,Minor,17,1,10.449689120035496,5269.922446875296,Dry,Distracted Driving,3,47103.17670327481,75012.56328388024,Asia,4200.029636414025
68,2022,November,Tuesday,Night,Rural,Main Road,Rainy,357.4067963143005,3,64,26-40,Male,0.1135108662028464,1,Good,1,0,Severe,2,3,33.088052411001,4379.7669530328985,Wet,Speeding,6,8162.243868958351,5351.62808456394,South America,2605.212239736548
79,2018,May,Thursday,Afternoon,Urban,Street,Clear,317.43209873310553,1,116,<18,Female,0.2281888471642723,1,Poor,0,1,Moderate,19,0,11.055220212503755,792.3514450510061,Icy,Mechanical Failure,9,22609.348873630315,79637.20783428162,Europe,2940.4004755762644
89,2004,September,Friday,Morning,Urban,Street,Clear,416.5933140663785,4,116,18-25,Female,0.0989799175040882,0,Poor,0,0,Severe,6,0,51.01097792213104,8655.435880975163,Wet,Speeding,1,42493.73126571177,15713.616978148102,South America,2967.954781124896
114,2006,May,Friday,Night,Rural,Main Road,Rainy,154.4544320346829,2,51,<18,Female,0.2140121573627989,0,Moderate,2,1,Moderate,8,1,14.030390347267376,3181.6745856449097,Icy,Distracted Driving,2,31779.048407072485,54356.1807823876,South America,4937.493625627119
117,2004,January,Sunday,Afternoon,Rural,Main Road,Rainy,442.14140531943207,2,101,61+,Male,0.1727130984974352,1,Poor,0,1,Minor,16,4,41.94429061475064,855.6822867363434,Icy,Mechanical Failure,0,25677.95764241108,56425.44604557432,North America,3569.316104091012
118,2001,May,Sunday,Afternoon,Rural,Street,Rainy,154.82415664281825,4,35,<18,Female,0.1721476608804201,1,Moderate,0,1,Moderate,17,0,56.04160020392102,2704.929026656868,Wet,Drunk Driving,4,35443.70134041918,51129.40614370199,North America,84.62248657215524
121,2022,March,Wednesday,Night,Urban,Highway,Rainy,275.04853037811927,4,64,18-25,Female,0.0392138987477544,0,Poor,1,1,Severe,19,1,46.57447992966007,4204.211575562618,Dry,Drunk Driving,3,32441.62107343161,18329.13566888278,South America,1317.0848063674975
152,2001,March,Thursday,Evening,Rural,Main Road,Snowy,295.3542472993795,2,93,<18,Male,0.1600930209904781,1,Moderate,1,2,Minor,2,0,20.60171923559428,4434.619583745833,Wet,Mechanical Failure,1,41168.63700218134,54305.99090341716,North America,1297.305566572945
162,2020,March,Sunday,Afternoon,Rural,Main Road,Foggy,226.1022347184544,2,116,61+,Male,0.2109109690238662,0,Poor,1,2,Moderate,9,3,12.58700002705914,6257.105589935927,Snow-covered,Mechanical Failure,6,44837.68350149869,60727.54768486237,Australia,4877.4875194353845
170,2007,August,Friday,Night,Rural,Highway,Clear,293.1162290373684,2,52,26-40,Male,0.1674094517425068,1,Good,1,1,Severe,12,0,24.928482605507284,3479.5584514119464,Wet,Speeding,7,18564.10086157685,9608.530413366329,Asia,197.532681646451
