,Year,Month,Day of Week,Time of Day,Urban/Rural,Road Type,Weather Conditions,Visibility Level,Number of Vehicles Involved,Speed Limit,Driver Age Group,Driver Gender,Driver Alcohol Level,Driver Fatigue,Vehicle Condition,Pedestrians Involved,Cyclists Involved,Accident Severity,Number of Injuries,Number of Fatalities,Emergency Response Time,Traffic Volume,Road Condition,Accident Cause,Insurance Claims,Medical Cost,Economic Loss,Region,Population Density
6,2010,March,Monday,Afternoon,Rural,Street,Foggy,386.1762173083017,3,92,41-60,Male,0.0752929262927642,0,Poor,2,1,Moderate,10,3,17.85166276514563,7607.80470548657,Wet,Weather,9,47248.02023804709,52342.43180596619,Asia,3408.182340583723
18,2002,May,Wednesday,Evening,Urban,Main Road,Foggy,173.86444392521244,2,33,18-25,Female,0.1138922550580431,0,Poor,0,2,Minor,15,3,17.41410577668281,2917.259389663297,Wet,Distracted Driving,2,3747.0571167156095,84944.19077345922,Europe,3138.574707408266
23,2008,January,Monday,Afternoon,Rural,Street,Windy,201.3572670492981,1,37,<18,Male,0.0990357672986154,0,Moderate,0,1,Moderate,1,2,53.00228553794734,4458.475278267507,Icy,Distracted Driving,5,1879.1476944785904,67036.97333107039,Australia,2593.5147386075446
35,2018,March,Saturday,Afternoon,Rural,Main Road,Clear,353.60823454580725,1,101,26-40,Male,0.1938518367814888,1,Moderate,2,2,Minor,8,2,31.825647536582625,3980.420608521353,Icy,Speeding,6,21398.021855644725,53283.09109530794,South America,1441.7576243252
46,2004,July,Sunday,Evening,Rural,Main Road,Rainy,327.25164755666464,3,57,41-60,Female,0.1913741496517741,0,Moderate,2,2,Moderate,19,1,37.13794427517153,1523.1155017542171,Icy,Drunk Driving,3,32740.91572425909,31092.145986496,South America,4012.462605956227
69,2020,September,Friday,Afternoon,Rural,Main Road,Clear,357.25026162705694,3,115,41-60,Male,0.0353684408268275,1,Moderate,0,1,Severe,12,0,43.83985356529005,8050.81430849239,Icy,Speeding,3,36131.81786039286,91586.08717812582,South America,1448.1288004951768
91,2020,September,Thursday,Afternoon,Rural,Main Road,Windy,215.52834274690952,4,108,41-60,Female,0.0245624297689147,0,Poor,1,0,Moderate,4,0,24.02307225480049,8416.594787050028,Wet,Distracted Driving,4,3438.497088629282,65287.09771692665,Europe,522.3870281660146
92,2007,March,Thursday,Night,Rural,Main Road,Windy,133.6322297265084,1,119,<18,Male,0.0955064548777325,1,Moderate,2,0,Severe,4,4,27.863105514424998,4733.762725421327,Snow-covered,Weather,6,39483.27528566271,37685.57348813698,South America,2967.7861478269656
98,2004,June,Tuesday,Afternoon,Urban,Street,Foggy,425.45790529028096,4,118,<18,Female,0.232773363812835,0,Moderate,2,2,Severe,6,3,52.87044006440703,1906.4447933471413,Icy,Drunk Driving,1,46176.45791635753,46429.210349614,Europe,786.9399225826754
105,2006,March,Tuesday,Morning,Rural,Main Road,Foggy,274.0674202994324,2,107,<18,Male,0.0717362707339491,1,Good,0,2,Severe,12,2,30.889769584989526,5409.00991907538,Dry,Drunk Driving,8,1780.3488352025545,7321.025475837446,South America,1745.5331720500978
107,2021,May,Thursday,Evening,Rural,Street,Windy,248.68299835855333,1,105,26-40,Male,0.2139005433475175,0,Poor,1,1,Moderate,5,2,57.298240068403736,7031.034223219719,Wet,Drunk Driving,6,15006.969912410552,83812.7476746708,Asia,254.5647596255721
108,2010,December,Thursday,Night,Rural,Main Road,Snowy,444.5286666962222,2,100,18-25,Male,0.0054957679931438,0,Moderate,0,2,Moderate,5,1,32.56415990288761,959.2980958691426,Icy,Speeding,4,1292.9929682615427,92008.92676002182,North America,4031.278627994385
111,2014,January,Sunday,Night,Rural,Main Road,Rainy,224.66098573018456,1,101,18-25,Female,0.1626630906811236,0,Good,1,1,Severe,0,1,17.593869292314192,3201.8089527343745,Wet,Drunk Driving,5,15116.655564908822,6102.426171085401,Asia,2119.03913654756
122,2021,February,Saturday,Evening,Rural,Highway,Snowy,141.2893386470962,2,48,61+,Male,0.1771288842572686,1,Good,0,1,Minor,14,4,56.21486572214348,3595.354410931646,Dry,Mechanical Failure,3,47164.00015451289,70964.0782340936,North America,3661.023072778774
125,2023,May,Sunday,Night,Urban,Highway,Clear,343.70563164315894,2,76,26-40,Female,0.2288891879981301,1,Moderate,1,1,Minor,14,2,10.099396690483648,2939.920988687094,Icy,Speeding,7,44164.610760304575,15371.41466045684,Asia,87.64739978331437
135,2019,December,Sunday,Morning,Rural,Highway,Snowy,492.7915794473943,3,31,<18,Male,0.1535752233711048,1,Poor,1,1,Minor,19,1,13.995927352220194,3888.4697584000937,Snow-covered,Mechanical Failure,8,13320.741556855788,47056.09984360479,South America,2206.021876838552
137,2023,December,Tuesday,Morning,Rural,Highway,Windy,368.31784495271705,2,32,61+,Male,0.230598591666451,1,Good,2,2,Moderate,15,3,48.39862555139851,652.4846333338389,Snow-covered,Drunk Driving,2,23658.395285896768,30056.658907487057,South America,4889.3887557147145
141,2013,October,Wednesday,Morning,Urban,Street,Clear,194.46840706534067,2,36,18-25,Male,0.1865581564131749,0,Moderate,2,2,Severe,10,2,57.8136787225974,1968.2439436736097,Snow-covered,Drunk Driving,7,27719.812946967304,45365.458643282334,Asia,1679.7323282671362
202,2002,February,Monday,Night,Urban,Main Road,Clear,105.85686809126148,1,94,41-60,Female,0.2472223016780247,1,Moderate,2,0,Moderate,15,3,27.080743862840464,3419.483062639835,Dry,Distracted Driving,0,25943.565854163156,69954.33601048651,Europe,1297.0566187117329
210,2013,January,Thursday,Evening,Urban,Highway,Foggy,180.21297443253803,1,77,41-60,Male,0.0637606306627127,0,Poor,1,1,Moderate,9,0,57.70023717435398,522.3831929624555,Dry,Weather,2,47851.321696670864,53276.04244474483,Europe,214.1406449192125
220,2007,February,Tuesday,Evening,Rural,Main Road,Rainy,389.4096007639285,3,113,41-60,Male,0.0605989194703395,0,Moderate,2,2,Moderate,5,0,13.34432015118194,3389.2181987353097,Wet,Speeding,0,20390.59937389668,59558.55811898662,South America,642.0634392798185
225,2017,August,Tuesday,Night,Rural,Street,Rainy,222.6363890946389,4,48,18-25,Female,0.1979417010612542,1,Poor,0,1,Severe,12,2,36.20362337472274,7988.366517998313,Snow-covered,Speeding,9,23781.43422608579,76139.68602529465,Australia,1558.817752496641
244,2002,December,Monday,Night,Urban,Highway,Foggy,358.87480513867257,1,47,<18,Male,0.0731758568813366,1,Good,1,0,Moderate,9,1,33.91348038277195,6739.278477788928,Snow-covered,Distracted Driving,8,42976.17658299483,84668.02131118655,South America,4685.434124436504
253,2006,May,Friday,Afternoon,Rural,Highway,Foggy,488.5838826759881,4,97,41-60,Female,0.0858851190774867,0,Moderate,0,0,Moderate,6,0,50.60139908958689,7549.683165720031,Icy,Mechanical Failure,6,38303.89336513211,52496.10903526482,Australia,4239.2100479086
254,2004,April,Wednesday,Night,Urban,Street,Foggy,153.39988637355947,3,36,<18,Female,0.089756589564751,0,Moderate,1,1,Minor,5,0,46.7590344178971,4005.928156001493,Dry,Weather,7,10382.037439934811,86317.52658816817,Europe,4645.21663728294
269,2013,June,Saturday,Morning,Urban,Main Road,Rainy,190.4533250227952,4,63,<18,Male,0.2080165179101175,0,Poor,0,0,Severe,6,4,28.61635768207459,5005.779762139207,Wet,Speeding,7,41545.7532941932,96063.95781380127,North America,2129.723065655252
272,2014,August,Friday,Morning,Rural,Highway,Snowy,344.7682927116599,1,76,61+,Male,0.1769293525168078,0,Moderate,1,2,Severe,1,4,47.4478469701244,9606.988916501608,Icy,Drunk Driving,5,11218.367312160275,41420.76689054341,North America,1890.967426785543
298,2023,November,Tuesday,Evening,Rural,Highway,Foggy,133.5731312866576,3,58,26-40,Female,0.0965937638345166,1,Good,0,1,Moderate,0,0,31.930331901991146,6093.337403136277,Wet,Weather,2,28051.313941631804,65455.97856631921,Asia,2135.2424519865963
330,2019,May,Tuesday,Morning,Urban,Street,Snowy,69.94239646389332,3,31,41-60,Male,0.0329457291436436,0,Moderate,2,0,Moderate,3,0,7.679389403860867,3494.71689122059,Wet,Weather,1,10913.432540241123,55355.19095649595,Europe,3653.428566960623
361,2009,June,Tuesday,Morning,Urban,Main Road,Foggy,203.9574670947924,3,57,26-40,Male,0.0396806360421131,1,Good,1,1,Minor,16,1,14.42356222496876,2233.523344737916,Dry,Drunk Driving,4,29697.37765698264,86278.640202484,North America,4139.181973794333
363,2008,August,Monday,Evening,Urban,Highway,Foggy,308.29696532505847,4,63,26-40,Female,0.0764091944717051,1,Moderate,0,1,Minor,13,1,16.214119861494385,9183.168762246414,Icy,Weather,5,5667.624384803858,90868.06077247948,South America,3437.814306377388
364,2016,November,Monday,Morning,Urban,Main Road,Snowy,269.7423704644149,3,118,18-25,Male,0.194073880230296,1,Moderate,1,0,Severe,9,3,43.43511934977279,2727.966818848709,Icy,Weather,3,41270.73425944119,47109.853666072726,Australia,2100.003540107862
369,2018,April,Monday,Afternoon,Rural,Main Road,Windy,282.73105327499854,4,49,18-25,Male,0.0367870655091278,0,Good,0,0,Minor,16,3,59.59889241270048,2204.9320942257077,Wet,Mechanical Failure,8,28497.619950878398,91521.94207911332,Europe,4405.975470487471
379,2012,January,Thursday,Morning,Urban,Highway,Windy,471.0487421447306,2,103,18-25,Female,0.05304868411029,0,Good,1,1,Severe,14,1,55.47810694619055,8830.569669272101,Dry,Drunk Driving,5,20515.464123261863,78668.70671839367,North America,1244.97974903772
384,2017,August,Tuesday,Morning,Rural,Street,Clear,196.09489287160167,4,115,41-60,Male,0.0398647483257113,0,Good,0,1,Moderate,16,1,55.21453062766951,2136.089577515801,Wet,Distracted Driving,8,7915.409970138223,66035.44450216956,South America,1840.4231634351372
395,2023,August,Tuesday,Afternoon,Urban,Highway,Windy,87.44654214149045,3,86,18-25,Male,0.0496517635695338,1,Good,0,0,Severe,18,1,59.84305515240489,6165.901089065336,Snow-covered,Mechanical Failure,7,33263.719357638605,46021.17428976997,North America,2490.7645327104383
400,2003,July,Sunday,Afternoon,Rural,Street,Snowy,266.6041020446978,2,84,<18,Male,0.2438425883501284,0,Poor,2,0,Severe,6,0,30.48334871657139,768.8348652084272,Icy,Drunk Driving,5,47698.14450017069,64787.7258148346,North America,2690.3774477811035
413,2014,January,Monday,Evening,Rural,Street,Snowy,480.47167432510247,4,82,18-25,Male,0.0202922741107939,0,Poor,2,1,Minor,18,4,58.280641281293335,6124.923382925515,Snow-covered,Mechanical Failure,4,5271.30380482412,65936.66192978622,South America,2971.136493212676
418,2008,December,Saturday,Afternoon,Urban,Highway,Foggy,196.09440386904183,1,75,26-40,Female,0.0564004587576648,1,Moderate,2,0,Minor,15,4,32.09613160240298,7256.654250457465,Snow-covered,Weather,4,38191.38275076186,21366.091579942306,Australia,255.3951303985101
426,2014,March,Saturday,Afternoon,Rural,Highway,Snowy,79.22847132997813,2,59,61+,Male,0.2117754280981851,1,Good,2,2,Severe,5,4,7.381507060264358,8313.891426245715,Icy,Weather,7,23374.7250841908,77820.47050276253,Asia,4963.738511139372
427,2008,May,Monday,Afternoon,Urban,Street,Clear,421.9913552524056,2,64,18-25,Female,0.0582216391573888,0,Good,0,0,Severe,16,0,46.30203173922078,3835.7794336300335,Dry,Weather,1,8948.693372848198,12792.499898662289,Australia,3893.181814351535
443,2013,April,Wednesday,Morning,Urban,Street,Foggy,494.0859949400074,4,104,41-60,Male,0.21420318215683,1,Moderate,1,2,Moderate,17,2,8.747009772778325,5337.992877523364,Icy,Speeding,2,6267.129527091921,41774.25455532004,Australia,2691.8879909733614
446,2005,May,Tuesday,Evening,Urban,Highway,Clear,307.7440960346161,3,114,26-40,Female,0.0964635184099063,1,Poor,0,1,Moderate,5,0,33.65779319193159,2292.4542813116777,Dry,Speeding,4,39111.41612645002,73095.17375719323,South America,4544.4839634098125
493,2000,November,Friday,Morning,Urban,Highway,Snowy,371.713816951258,4,78,61+,Male,0.2096182137885997,1,Moderate,0,2,Minor,12,1,14.973589553663889,759.7191683837718,Snow-covered,Drunk Driving,7,4267.739413863897,90139.3624038189,Europe,2747.444367923303
497,2011,March,Wednesday,Morning,Rural,Highway,Clear,120.8968732792303,2,71,41-60,Male,0.2463816388858999,0,Poor,1,0,Moderate,3,1,52.53663105337365,5741.842869482861,Dry,Distracted Driving,0,15439.51762362607,16065.164860287208,North America,2206.7552275781786
498,2018,February,Sunday,Morning,Rural,Main Road,Snowy,53.80614488551674,3,40,41-60,Female,0.0268216110691752,0,Moderate,0,0,Minor,0,4,46.33722213723906,3691.2900381291015,Wet,Drunk Driving,7,33098.38749581373,73686.81551568757,South America,1376.667299788208
