,Year,Month,Day of Week,Time of Day,Urban/Rural,Road Type,Weather Conditions,Visibility Level,Number of Vehicles Involved,Speed Limit,Driver Age Group,Driver Gender,Driver Alcohol Level,Driver Fatigue,Vehicle Condition,Pedestrians Involved,Cyclists Involved,Accident Severity,Number of Injuries,Number of Fatalities,Emergency Response Time,Traffic Volume,Road Condition,Accident Cause,Insurance Claims,Medical Cost,Economic Loss,Region,Population Density
31,2009,November,Sunday,Evening,Urban,Main Road,Snowy,420.5897282090448,4,83,61+,Male,0.1598767610767079,1,Moderate,1,0,Minor,7,0,35.44328411392076,8577.478249855589,Dry,Distracted Driving,7,20557.19140503096,27672.30234651456,North America,1807.041282502601
44,2004,April,Monday,Night,Rural,Street,Foggy,78.26785909035743,4,118,61+,Male,0.1518490326165642,1,Good,0,0,Moderate,16,1,56.0421555822922,9117.406776111431,Snow-covered,Weather,6,46134.13148107085,54678.58418262765,Asia,1296.3504737942033
57,2020,May,Tuesday,Afternoon,Rural,Highway,Clear,362.1036724347909,4,75,41-60,Male,0.0889251770363303,1,Moderate,2,2,Severe,0,3,40.0735825545252,388.7087200607649,Snow-covered,Speeding,0,49757.285169572206,2707.423489406931,Europe,4741.146234067545
63,2003,July,Friday,Morning,Urban,Main Road,Snowy,472.802638697252,3,113,41-60,Male,0.2394909093244099,0,Moderate,1,2,Moderate,7,1,12.58296481399033,8259.91214745528,Dry,Speeding,4,29125.3377294435,17612.784785412758,North America,1743.274808704743
66,2020,July,Saturday,Morning,Rural,Main Road,Clear,145.168028819188,3,45,18-25,Female,0.1703226683578703,1,Moderate,2,0,Severe,9,1,32.891855879429954,1134.334178814955,Snow-covered,Speeding,2,15701.992171737247,65390.0996352555,Asia,4512.312464514386
82,2016,October,Monday,Night,Urban,Main Road,Windy,253.3072001059331,3,87,<18,Male,0.1443628195062102,1,Moderate,2,2,Minor,10,1,29.91190592746085,6511.45018738865,Icy,Speeding,0,18137.816239753254,70931.6209752361,Australia,2648.57709349594
87,2016,September,Wednesday,Morning,Urban,Street,Clear,403.7246780483388,1,34,<18,Male,0.0868637399048286,0,Moderate,2,2,Minor,5,3,12.37261030005006,5511.255831541891,Dry,Speeding,2,48932.83570164241,34933.88405424256,North America,1371.8945470231654
102,2003,October,Thursday,Morning,Urban,Street,Rainy,395.414111925642,2,89,18-25,Female,0.1561484346993476,1,Moderate,1,2,Minor,3,1,38.8431509884196,9837.413045116838,Dry,Drunk Driving,3,15618.615614293523,36903.28158664781,Europe,218.16857691746972
113,2005,February,Friday,Night,Rural,Street,Foggy,233.3220883979917,4,87,<18,Female,0.0354277808664643,0,Good,0,0,Minor,17,2,51.51817447813972,8302.20806368758,Wet,Speeding,1,33498.26327921344,19993.230108559856,Europe,3011.0994901598438
129,2019,December,Monday,Night,Rural,Main Road,Windy,173.51229369722174,1,34,61+,Male,0.2049460261117827,1,Poor,1,2,Moderate,2,2,37.66493362385036,7511.2469999531395,Dry,Speeding,3,24268.85062164424,32490.30068088544,North America,4748.391957171912
132,2016,August,Tuesday,Afternoon,Urban,Highway,Clear,116.53677067013116,3,111,<18,Female,0.216925751518288,0,Poor,0,2,Severe,17,2,46.058830682949065,9375.055513656984,Icy,Drunk Driving,5,23298.45834665014,69811.55919176905,Asia,1893.3581048740496
140,2006,July,Saturday,Evening,Rural,Main Road,Foggy,138.5261172568475,4,53,41-60,Female,0.1789661215999305,0,Moderate,2,1,Minor,0,1,52.55141087849309,9142.218695744505,Wet,Speeding,0,48525.62319536289,12862.234146750829,South America,2775.5238124238904
143,2021,May,Friday,Night,Rural,Highway,Clear,118.48784813259388,2,102,61+,Male,0.0497546937551468,0,Poor,2,0,Severe,2,3,35.14778550849795,9589.505063455375,Icy,Drunk Driving,1,44470.08829496561,94022.83656269692,North America,4652.9086935167215
144,2011,May,Sunday,Night,Urban,Highway,Rainy,134.83252383470284,2,58,<18,Male,0.1335264370692131,1,Poor,0,2,Moderate,11,0,53.82784428432124,8657.2557706719,Dry,Drunk Driving,8,27441.488303577706,17895.08977998145,North America,1308.6822532534295
155,2000,January,Tuesday,Afternoon,Urban,Street,Foggy,455.5430513868285,3,86,18-25,Female,0.2212070023579616,0,Poor,1,1,Minor,19,1,56.8368729658689,5019.853879106541,Dry,Weather,8,34818.3455465715,36539.65629633779,Asia,2627.145042948959
160,2002,September,Sunday,Night,Rural,Main Road,Clear,242.73262322442315,2,107,61+,Female,0.184011680790426,0,Good,1,1,Minor,0,4,17.475131011382395,3985.55142158702,Icy,Distracted Driving,3,40706.03729966241,15711.352407617904,Australia,4165.940440515024
178,2017,November,Tuesday,Night,Urban,Street,Rainy,452.0623911823302,2,107,18-25,Female,0.2199332704662887,1,Poor,1,0,Severe,9,0,24.24771281423198,2525.315634614333,Snow-covered,Weather,5,45683.556405848685,18649.776806155416,South America,971.4382496167684
183,2013,December,Friday,Evening,Rural,Highway,Snowy,170.51532654483748,1,47,61+,Female,0.0762485724883753,1,Good,2,1,Severe,16,4,42.693364357937774,4063.630610648776,Snow-covered,Mechanical Failure,4,8802.800954835013,55032.07424526715,Asia,4412.659496957069
191,2002,December,Tuesday,Evening,Rural,Main Road,Snowy,151.8890076471048,3,82,26-40,Female,0.04633677826374,1,Good,1,0,Moderate,18,4,17.115705975916406,7006.729292867864,Wet,Drunk Driving,1,30582.684070025058,43918.24164145584,South America,2318.887841621377
192,2006,July,Thursday,Night,Urban,Main Road,Rainy,467.2007206520367,2,95,<18,Female,0.1109864019312759,1,Good,1,2,Moderate,6,2,19.836383439184743,1079.4047118433637,Dry,Mechanical Failure,4,20206.143651123966,77263.58848985913,North America,2071.0359549613127
206,2023,August,Saturday,Morning,Urban,Main Road,Rainy,455.0841344649816,1,118,41-60,Male,0.1278129957159229,1,Poor,1,0,Moderate,19,4,49.00290420702853,4047.729332925677,Dry,Mechanical Failure,1,12142.131286412894,45131.66640452368,Europe,2624.6438953215848
