,Year,Month,Day of Week,Time of Day,Urban/Rural,Road Type,Weather Conditions,Visibility Level,Number of Vehicles Involved,Speed Limit,Driver Age Group,Driver Gender,Driver Alcohol Level,Driver Fatigue,Vehicle Condition,Pedestrians Involved,Cyclists Involved,Accident Severity,Number of Injuries,Number of Fatalities,Emergency Response Time,Traffic Volume,Road Condition,Accident Cause,Insurance Claims,Medical Cost,Economic Loss,Region,Population Density
5,2010,May,Monday,Evening,Urban,Street,Snowy,479.2168336052988,2,30,18-25,Male,0.0840023187146544,1,Moderate,2,2,Severe,10,4,8.205994095457932,360.9517951930779,Dry,Speeding,7,40980.71816402126,45995.60525220058,South America,3626.074026739447
33,2004,April,Tuesday,Morning,Urban,Highway,Clear,496.7530209471114,4,78,61+,Female,0.2491168959353022,1,Poor,1,1,Minor,9,1,12.94807196518217,7687.10570560766,Wet,Speeding,8,42986.59247622942,83618.58128731628,North America,1542.5890532572648
38,2016,March,Monday,Morning,Urban,Highway,Snowy,239.5647963299756,2,97,18-25,Female,0.076637895535569,0,Moderate,2,0,Moderate,19,1,26.971211551507157,1031.353617752084,Wet,Speeding,6,47782.08908329613,38484.24797755006,South America,4366.493576019246
45,2024,December,Sunday,Afternoon,Urban,Street,Windy,238.85223951594688,2,30,41-60,Male,0.2493416097534645,0,Poor,1,2,Moderate,3,2,41.34187847003069,3305.4990655388087,Icy,Mechanical Failure,9,21932.58973552932,77936.08066033984,Asia,2826.2294433933425
71,2022,September,Thursday,Afternoon,Rural,Street,Foggy,372.9213606757552,2,44,41-60,Female,0.0088511208429711,1,Good,0,2,Minor,8,3,37.10589486465689,1320.9628949256046,Icy,Weather,3,47484.97495980509,2166.387066823224,North America,2318.237342129449
72,2023,July,Tuesday,Night,Rural,Main Road,Foggy,465.82928334055913,3,43,61+,Female,0.0644514564736792,1,Poor,1,2,Moderate,11,3,17.047432584906737,9230.28341206096,Icy,Drunk Driving,4,35591.676534451704,27506.961117474013,Australia,2963.070073259466
78,2022,September,Saturday,Afternoon,Urban,Street,Foggy,89.79919584241202,1,114,18-25,Male,0.1765630320703849,1,Moderate,1,2,Minor,0,3,14.673903146347984,106.59129613088732,Dry,Drunk Driving,8,38464.67858341647,89527.37456445527,Australia,3550.0256787727635
81,2009,April,Saturday,Afternoon,Urban,Main Road,Rainy,189.190867837564,1,80,61+,Male,0.1191223343486137,1,Poor,1,2,Minor,7,2,53.910417989910414,737.812755214115,Dry,Drunk Driving,1,15814.380912217532,68119.53084304514,Europe,4859.901809889933
138,2021,December,Sunday,Morning,Rural,Street,Rainy,160.5667628766456,3,60,41-60,Male,0.0731646467865975,0,Good,1,1,Moderate,4,1,21.1360436560992,6925.771020894205,Snow-covered,Weather,9,15961.761878189474,21176.77715634596,Australia,2347.462705047663
148,2008,October,Thursday,Night,Rural,Highway,Snowy,355.11001916532524,2,64,18-25,Male,0.2186660511037271,1,Good,1,0,Minor,7,2,41.465027192456894,4262.960491466305,Wet,Weather,1,42655.79566608069,30852.154766689942,North America,69.20091091372194
149,2017,September,Thursday,Night,Rural,Street,Clear,143.9021044317612,2,111,41-60,Female,0.0063925436833658,0,Good,1,1,Minor,17,2,29.1889781818936,2621.5381216410838,Dry,Speeding,4,35039.94595946519,24220.510722964354,Europe,4477.721036453008
185,2012,August,Tuesday,Morning,Urban,Highway,Snowy,104.89535975012036,2,68,26-40,Male,0.1924121585432755,0,Moderate,1,0,Severe,17,4,51.3929817861448,9407.33930092477,Snow-covered,Mechanical Failure,0,3700.5172646310193,60626.03017032886,Australia,4041.225479329851
193,2006,August,Wednesday,Night,Urban,Street,Windy,411.8002571879515,3,113,41-60,Male,0.1226235937400276,0,Good,0,1,Moderate,19,2,28.14100138570081,7784.662908659767,Icy,Drunk Driving,1,29121.159256294013,38529.00326390738,North America,1854.672272370396
204,2013,November,Wednesday,Morning,Urban,Main Road,Clear,252.98193402246247,1,93,<18,Female,0.0792496406167172,0,Poor,2,1,Severe,19,4,21.821398704801133,5851.80434270581,Wet,Weather,6,15352.029304293716,20166.250584239395,Australia,2729.675165737829
205,2019,November,Saturday,Afternoon,Urban,Main Road,Snowy,428.5417598303266,1,81,<18,Female,0.1444023976299063,1,Good,2,1,Moderate,17,1,10.493610252732744,4941.886805858881,Dry,Weather,1,35265.80233743513,45195.70282131816,Europe,708.7579817029944
209,2012,June,Wednesday,Evening,Urban,Highway,Windy,294.504998010909,2,36,41-60,Male,0.1716409034927782,0,Good,2,1,Minor,16,1,44.53928290496077,8116.671962675351,Dry,Distracted Driving,8,5904.904166899962,9627.876832174454,Australia,804.6977052794649
227,2024,November,Friday,Afternoon,Urban,Main Road,Rainy,225.2112699329994,4,109,61+,Male,0.0713202514282574,1,Poor,2,2,Moderate,16,2,13.376598688249771,7560.652091989619,Dry,Distracted Driving,6,37332.995448451904,24043.85656259854,North America,503.9018597023305
236,2008,May,Friday,Morning,Rural,Main Road,Foggy,240.77394290116737,4,119,<18,Female,0.1352300567090849,0,Poor,2,2,Minor,10,3,21.114670768021192,1759.615051953347,Snow-covered,Speeding,0,4091.9563356893896,63875.0464257657,Asia,3690.694594924789
240,2021,November,Sunday,Afternoon,Urban,Street,Snowy,96.28928312996406,2,79,61+,Male,0.0763009958096523,0,Good,0,0,Minor,13,2,5.1498999271469055,9337.079901189434,Icy,Weather,6,27896.226229197968,93469.2953848715,Asia,4242.223063557949
260,2014,May,Thursday,Afternoon,Urban,Street,Foggy,251.10504613221596,1,117,61+,Female,0.0838195390922255,0,Moderate,0,0,Minor,12,3,48.39039117001248,2580.734221112686,Icy,Mechanical Failure,4,20843.66332311353,41020.41140993144,North America,3787.652596468413
266,2017,November,Sunday,Afternoon,Rural,Street,Snowy,123.92795652086006,3,90,18-25,Male,0.1649388216852551,1,Moderate,0,2,Severe,5,1,35.32137475234063,9502.438687889686,Dry,Drunk Driving,3,8886.421846359764,73466.46697705639,Australia,375.1448268237342
271,2005,February,Thursday,Evening,Rural,Main Road,Clear,300.5821728911437,1,39,<18,Male,0.0006146774220152,0,Poor,0,0,Severe,6,3,37.333970254022056,6714.484848049348,Snow-covered,Drunk Driving,6,30237.142350477225,11173.307498873251,North America,39.86987371482914
276,2013,December,Tuesday,Morning,Rural,Highway,Snowy,472.2429217104151,1,50,18-25,Male,0.0121130821275708,1,Poor,0,2,Minor,1,3,49.544217781727085,753.3271187107589,Icy,Drunk Driving,7,8979.367269074244,19690.510796017694,Europe,4860.169860823326
306,2015,February,Friday,Morning,Rural,Street,Windy,77.01375977892693,1,62,26-40,Female,0.1216182889712489,1,Moderate,2,1,Moderate,4,1,41.46305841374242,2929.9923836654925,Wet,Drunk Driving,2,8059.393962703789,84774.22271482373,South America,1333.654616213008
311,2022,July,Thursday,Morning,Urban,Highway,Clear,52.5256170034962,2,38,18-25,Male,0.1613876706848326,0,Poor,2,1,Severe,15,2,48.10905977118711,927.0623960649928,Snow-covered,Speeding,9,18651.24142342669,38163.87745559018,Asia,694.9524651296565
329,2013,December,Wednesday,Afternoon,Rural,Highway,Clear,353.84597456248724,2,87,18-25,Male,0.0341990582164804,0,Moderate,1,2,Severe,10,4,37.931827455423225,729.3974789105293,Dry,Weather,4,11479.30558911812,51330.69225718814,Australia,4818.801700632391
336,2014,January,Tuesday,Night,Urban,Street,Snowy,269.05831374168,3,61,18-25,Male,0.1824181598342632,1,Poor,1,2,Moderate,14,3,35.8925649694072,1967.333492071818,Snow-covered,Speeding,6,36208.63922868322,70643.19540658708,Asia,1074.3588224070002
338,2008,November,Saturday,Evening,Urban,Highway,Snowy,432.6868775216509,1,85,26-40,Female,0.1937425474361942,1,Poor,0,2,Minor,19,0,52.58978070424604,6877.536264650147,Dry,Mechanical Failure,5,33089.72049378732,14653.496126663376,Australia,1388.956573256954
341,2010,August,Sunday,Evening,Urban,Highway,Clear,251.35797450125676,2,74,<18,Male,0.0205794311281105,1,Moderate,2,0,Moderate,3,3,46.18975910234997,9722.56021946584,Snow-covered,Distracted Driving,1,49250.662534891606,99655.25526165268,South America,4375.061647790026
348,2023,July,Tuesday,Evening,Rural,Street,Rainy,192.94884932309617,2,67,18-25,Female,0.2354534644211998,1,Moderate,1,1,Minor,3,3,23.62631258960259,1251.817185823082,Dry,Drunk Driving,5,45318.297083724974,19986.021893126912,Asia,2103.2534218365745
357,2020,June,Friday,Afternoon,Urban,Street,Windy,459.9344345915956,2,74,41-60,Female,0.1489715383662518,1,Poor,2,2,Moderate,13,0,58.290878011229125,2601.4223665321047,Icy,Distracted Driving,2,20502.5909471399,80328.06554685997,South America,858.3789552207668
402,2015,January,Thursday,Night,Rural,Main Road,Snowy,89.527001971328,1,111,41-60,Male,0.2449242506731075,0,Good,2,1,Minor,18,4,14.669851524521228,9236.91481019281,Dry,Drunk Driving,6,43458.6617754528,57010.30699300565,Australia,565.636431397153
419,2019,January,Friday,Morning,Rural,Highway,Foggy,404.09793649561135,3,104,41-60,Female,0.0954838412781514,0,Good,2,1,Severe,17,1,47.4447417508984,1260.8574705400115,Wet,Distracted Driving,9,22065.894331286607,21597.22095891205,North America,2116.8495147792564
445,2024,February,Saturday,Morning,Urban,Main Road,Clear,349.8421676029174,2,82,41-60,Male,0.1237417878062613,0,Good,2,1,Moderate,6,1,39.44361557827072,5702.089377141261,Dry,Drunk Driving,1,30270.623180321712,27324.26919730892,Australia,1251.830369781579
470,2001,October,Saturday,Night,Urban,Main Road,Foggy,138.8190958896588,3,56,18-25,Male,0.1325148463054594,0,Poor,1,0,Minor,6,0,34.38595834987468,1654.7910943684851,Snow-covered,Distracted Driving,9,39956.517833336,17727.88713381778,North America,4783.6976706034775
491,2017,January,Monday,Evening,Rural,Highway,Clear,415.4039225299083,3,95,41-60,Male,0.2418011706254371,1,Moderate,0,2,Moderate,8,2,16.390697459189834,8083.973561583971,Snow-covered,Drunk Driving,5,5118.012972369814,74810.29782260793,South America,2518.367749116094
