,Year,Month,Day of Week,Time of Day,Urban/Rural,Road Type,Weather Conditions,Visibility Level,Number of Vehicles Involved,Speed Limit,Driver Age Group,Driver Gender,Driver Alcohol Level,Driver Fatigue,Vehicle Condition,Pedestrians Involved,Cyclists Involved,Accident Severity,Number of Injuries,Number of Fatalities,Emergency Response Time,Traffic Volume,Road Condition,Accident Cause,Insurance Claims,Medical Cost,Economic Loss,Region,Population Density
8,2014,August,Thursday,Afternoon,Rural,Highway,Rainy,387.82867548208174,3,106,26-40,Male,0.1597675337717115,1,Poor,1,2,Minor,4,2,26.54360961740735,3793.8505419606495,Snow-covered,Mechanical Failure,5,37624.775981300496,13724.6309498977,Europe,2058.8982792421093
14,2013,May,Thursday,Afternoon,Rural,Main Road,Foggy,417.3395882316792,3,64,41-60,Male,0.0916752464714165,0,Poor,1,2,Severe,14,0,12.75041076350445,6592.827686094341,Icy,Drunk Driving,9,14545.79647363726,35265.99072479384,Europe,3454.5731492801838
24,2010,February,Saturday,Night,Urban,Street,Rainy,247.27827698613413,1,52,<18,Male,0.2304963451063585,0,Moderate,0,0,Minor,8,2,27.80540237729007,1597.5954391740363,Snow-covered,Mechanical Failure,7,3526.587485906225,76103.57615981605,Asia,3572.20141795511
28,2008,April,Thursday,Night,Urban,Street,Rainy,378.21004139859537,2,58,18-25,Female,0.0128078100426772,1,Moderate,1,1,Moderate,11,4,29.643857917611392,6903.164250992917,Wet,Drunk Driving,1,38606.47366156439,95979.19678633571,South America,2016.8528481809992
34,2005,June,Saturday,Evening,Urban,Highway,Windy,256.75552980839745,4,64,26-40,Female,0.0153656181290027,0,Poor,0,1,Severe,8,2,19.52323375808793,7215.75091527598,Snow-covered,Mechanical Failure,8,20792.38422730021,76716.68780127392,South America,4256.957174381658
40,2006,November,Tuesday,Afternoon,Urban,Street,Windy,87.56267041212169,4,84,26-40,Male,0.1038971566411511,0,Good,1,0,Minor,12,1,54.97466758168922,8576.443112585133,Dry,Weather,6,6519.327832603474,31376.29758866503,Europe,2739.2637837091447
47,2021,May,Monday,Afternoon,Rural,Highway,Snowy,366.7958576258268,2,93,<18,Male,0.0407808835105359,0,Good,1,1,Moderate,4,4,22.194408884449995,2795.6021032911226,Wet,Drunk Driving,7,29747.674267153423,44162.22321911292,South America,2715.6283722637977
58,2009,August,Friday,Morning,Rural,Highway,Foggy,241.68159575485876,1,112,61+,Male,0.2242426144000093,1,Poor,2,0,Moderate,6,2,7.92126339036955,7605.636505204965,Dry,Speeding,7,15913.764905742117,8115.415945465824,Australia,844.4442404212434
65,2010,April,Sunday,Night,Urban,Street,Rainy,423.4318956164304,4,49,41-60,Male,0.2443203092019798,1,Good,0,2,Severe,5,2,52.15954920024767,4580.932745830078,Snow-covered,Drunk Driving,1,31250.81590123032,43562.80897478252,Europe,2832.7035411345723
77,2024,October,Wednesday,Night,Urban,Street,Rainy,320.36665643854474,1,96,41-60,Male,0.1719436292395736,1,Poor,1,0,Moderate,14,2,9.835388880292864,5642.017238622596,Icy,Distracted Driving,0,28125.381751974408,92813.1379456927,Asia,894.9848373910622
90,2007,March,Friday,Night,Rural,Street,Windy,499.4627404680716,3,86,61+,Male,0.1916337644978908,1,Good,1,2,Moderate,9,3,52.30980603140912,9344.558048978428,Snow-covered,Drunk Driving,9,40955.80130031092,15460.378116991838,South America,3681.11349124537
94,2011,October,Friday,Night,Urban,Highway,Clear,285.29583922071845,2,95,41-60,Male,0.1736908176622734,0,Poor,2,1,Minor,16,1,16.34629199057344,692.7490968295198,Wet,Distracted Driving,7,4884.549151521916,86681.89944568794,Europe,2048.8095481319847
96,2006,June,Saturday,Evening,Urban,Highway,Clear,203.2073810672248,4,117,26-40,Male,0.1187704579090061,1,Good,0,2,Minor,14,2,11.049567676906374,6350.975128123299,Icy,Drunk Driving,6,3041.711103295659,24724.311568173114,South America,4802.6643089621375
100,2010,August,Saturday,Evening,Rural,Main Road,Rainy,376.1919093264531,2,117,41-60,Male,0.234869969030146,1,Poor,1,2,Minor,4,3,10.366652241111169,7196.211777905501,Icy,Weather,6,3101.713734311824,8263.349571508941,North America,3534.7858829320485
