,Year,Month,Day of Week,Time of Day,Urban/Rural,Road Type,Weather Conditions,Visibility Level,Number of Vehicles Involved,Speed Limit,Driver Age Group,Driver Gender,Driver Alcohol Level,Driver Fatigue,Vehicle Condition,Pedestrians Involved,Cyclists Involved,Accident Severity,Number of Injuries,Number of Fatalities,Emergency Response Time,Traffic Volume,Road Condition,Accident Cause,Insurance Claims,Medical Cost,Economic Loss,Region,Population Density
19,2009,July,Monday,Afternoon,Rural,Highway,Foggy,183.33600542812056,3,82,61+,Female,0.131107587588733,1,Moderate,1,2,Minor,12,0,9.563150211104848,9536.58970675451,Icy,Mechanical Failure,7,38208.728013068816,64241.8626130636,Asia,310.44000014373927
27,2024,November,Thursday,Afternoon,Urban,Street,Clear,424.2989301899138,2,96,18-25,Male,0.1626148529287479,1,Moderate,0,2,Moderate,9,3,21.528324281194507,778.5617874755692,Dry,Mechanical Failure,5,37342.08540834247,36795.64855930962,North America,3972.911758674852
50,2014,December,Thursday,Morning,Urban,Street,Snowy,115.57744772343962,3,72,18-25,Male,0.0991884477899452,1,Good,0,2,Moderate,7,3,27.103731675070133,3859.223533207549,Dry,Weather,8,9518.780036261162,82204.96607708905,Australia,3219.6230069338835
59,2024,January,Sunday,Evening,Urban,Highway,Foggy,469.170433689115,2,104,18-25,Female,0.1276579331294818,0,Good,2,2,Moderate,2,3,23.582252439909038,9625.184024614056,Snow-covered,Weather,4,8817.664438177435,73064.53014032672,South America,44.528111726064765
70,2016,October,Monday,Evening,Rural,Highway,Snowy,187.18764121024475,2,43,26-40,Female,0.1968862892611755,0,Poor,1,1,Severe,6,4,27.362117980079272,8898.805544892833,Dry,Distracted Driving,9,47510.54972749444,3022.109820498488,Europe,4679.451062550053
93,2013,May,Saturday,Afternoon,Urban,Highway,Rainy,368.99853727359033,1,85,18-25,Male,0.1824460890810156,0,Good,1,2,Minor,9,3,38.24805832728615,6719.812479632081,Dry,Distracted Driving,9,42515.051668975335,94910.87554620297,Australia,2343.929889515024
97,2022,March,Tuesday,Night,Rural,Street,Clear,206.03817459961775,4,42,26-40,Female,0.0669788012351638,1,Good,1,1,Minor,4,1,32.04441602540783,6546.968378174272,Dry,Mechanical Failure,5,21551.17901891464,71575.26854904628,Europe,2525.340489947665
101,2017,June,Friday,Morning,Urban,Street,Snowy,241.68203083922117,1,48,<18,Male,0.0094926177510851,0,Poor,1,2,Moderate,17,2,59.71689541155376,2386.9544651535857,Dry,Distracted Driving,0,3672.722090326696,51446.98120690491,South America,545.4880453216276
103,2008,November,Friday,Evening,Rural,Highway,Snowy,234.57363964223973,4,103,41-60,Male,0.024954484498389,0,Poor,0,2,Severe,3,0,9.78891208869257,834.964555753254,Snow-covered,Drunk Driving,7,27302.67973340936,91712.390600243,North America,729.3668242378498
115,2021,March,Tuesday,Night,Urban,Main Road,Snowy,314.6191560949652,4,53,26-40,Female,0.1455381713865692,1,Poor,1,2,Moderate,16,3,51.34185943738101,7113.42267106112,Wet,Mechanical Failure,2,35806.229780301204,8982.654321448736,North America,49.16868691610091
116,2003,September,Saturday,Afternoon,Urban,Main Road,Windy,127.64534756872952,3,78,41-60,Female,0.0203627889283753,0,Poor,2,2,Minor,13,4,5.698082174638707,4814.809651831053,Snow-covered,Weather,0,42556.571978992186,26284.908081248574,Asia,4416.052215185511
146,2010,June,Tuesday,Morning,Rural,Main Road,Clear,182.88993223106908,2,93,41-60,Male,0.2475824073601668,0,Poor,1,0,Moderate,7,3,56.57321541391066,1690.877698978348,Wet,Speeding,5,20947.92892350246,69068.71085408141,Australia,3827.1390832275674
154,2001,October,Tuesday,Morning,Urban,Highway,Windy,474.7879725717176,3,108,18-25,Female,0.1523541334603063,0,Moderate,2,2,Severe,6,3,59.68636248932061,8815.671993718295,Icy,Distracted Driving,0,28913.001956704637,54460.62460050311,Asia,16.39915559680128
158,2005,March,Wednesday,Evening,Rural,Main Road,Rainy,302.95058987402035,3,38,61+,Male,0.2023339131041192,1,Good,1,1,Moderate,14,3,32.653833858661216,7861.728467513732,Icy,Drunk Driving,0,19919.509849218925,78206.43371058622,North America,2499.5196116169705
164,2015,August,Tuesday,Morning,Rural,Street,Windy,389.12530054353874,3,111,41-60,Female,0.2487733608658664,0,Good,0,1,Moderate,13,3,24.28936275336121,2050.143974533976,Dry,Drunk Driving,8,18147.567981129963,11569.986980324124,Asia,2734.4312327178254
197,2002,May,Sunday,Evening,Urban,Main Road,Windy,221.7028095489964,2,107,41-60,Male,0.0628898265623396,1,Moderate,0,1,Severe,6,4,59.681621896077935,8145.097899296599,Dry,Distracted Driving,8,28814.540973213218,96748.55465690247,North America,125.99185363643024
201,2020,October,Saturday,Night,Rural,Main Road,Foggy,377.6626089142719,4,91,41-60,Male,0.1067862381550027,0,Moderate,2,2,Minor,15,3,7.833229425093325,9190.43286343331,Wet,Distracted Driving,3,23397.060422768147,77612.38402920689,Australia,3003.6012816754883
219,2011,September,Saturday,Morning,Rural,Street,Clear,313.6662187712824,2,67,<18,Female,0.1226667420827291,0,Poor,0,1,Moderate,4,3,34.28867034215709,1231.337004117918,Snow-covered,Drunk Driving,7,47136.51871070146,49554.215902474585,Asia,2793.831119856217
238,2002,May,Tuesday,Night,Rural,Highway,Windy,215.4052908817098,3,35,18-25,Male,0.043830767974984,0,Good,2,0,Severe,13,1,19.89517187446244,7816.13691292441,Snow-covered,Distracted Driving,0,38071.11048303385,81104.00099269049,Australia,4532.173752233988
239,2017,December,Friday,Morning,Urban,Main Road,Foggy,409.0778601478645,4,33,41-60,Female,0.1418719698304553,0,Moderate,0,1,Minor,4,1,52.77017524449615,7949.31504628657,Snow-covered,Distracted Driving,9,37937.12552879541,32173.575065810062,Asia,680.3645658502255
242,2020,September,Sunday,Morning,Urban,Main Road,Snowy,237.8041912904446,1,78,26-40,Female,0.0449618951996546,1,Moderate,0,0,Severe,9,4,35.352597950789885,3173.685711524341,Snow-covered,Mechanical Failure,8,32519.20034821067,9021.155568360697,North America,3743.263439027709
