,Year,Month,Day of Week,Time of Day,Urban/Rural,Road Type,Weather Conditions,Visibility Level,Number of Vehicles Involved,Speed Limit,Driver Age Group,Driver Gender,Driver Alcohol Level,Driver Fatigue,Vehicle Condition,Pedestrians Involved,Cyclists Involved,Accident Severity,Number of Injuries,Number of Fatalities,Emergency Response Time,Traffic Volume,Road Condition,Accident Cause,Insurance Claims,Medical Cost,Economic Loss,Region,Population Density
1,2014,December,Saturday,Evening,Urban,Street,Windy,168.31135811140985,3,96,18-25,Female,0.2348934669025476,1,Poor,1,1,Minor,6,1,58.04137989932781,4458.628819608176,Snow-covered,Mechanical Failure,3,6486.600072710956,9534.39944065122,North America,2333.9162240119367
3,2017,May,Saturday,Evening,Urban,Main Road,Clear,489.384535519872,2,78,18-25,Male,0.1208147716756711,1,Good,2,0,Minor,6,3,48.55401428514774,4958.646267212246,Icy,Distracted Driving,3,25797.212565621678,20907.151302440983,Australia,2810.822422920365
12,2005,January,Tuesday,Afternoon,Urban,Street,Snowy,292.7861996131263,4,31,18-25,Male,0.1072553139600899,1,Good,2,1,Minor,13,0,22.60907173011268,5974.680150539996,Snow-covered,Drunk Driving,8,33690.17455188998,39727.27700268965,Europe,3765.604944067853
15,2001,August,Thursday,Morning,Rural,Main Road,Snowy,435.4224298065668,3,39,<18,Male,0.0763787025697046,1,Moderate,1,2,Moderate,0,3,39.56761061460363,6379.0546693144015,Icy,Mechanical Failure,8,33720.89149948235,1065.8343711510647,North America,4080.4351836134574
17,2017,August,Saturday,Evening,Urban,Street,Rainy,103.05785419484069,4,92,<18,Female,0.2247649764253346,0,Moderate,1,2,Minor,4,3,37.53104865958402,4854.72080761277,Snow-covered,Weather,8,5739.553718367226,4088.72764302422,Europe,4146.975610485328
20,2013,April,Wednesday,Afternoon,Rural,Highway,Rainy,145.1652104310262,4,66,<18,Male,0.0146467515845839,0,Poor,0,0,Minor,16,3,51.17172923210988,9019.035881533808,Dry,Mechanical Failure,4,10654.476560913585,83305.23453322588,Europe,1531.2700175441285
26,2007,June,Sunday,Night,Urban,Highway,Clear,106.2517539452571,2,83,<18,Female,0.2160771865850174,0,Good,2,2,Minor,12,0,19.69844779929165,7756.81917279291,Icy,Weather,9,27161.53590892623,12670.84756022038,South America,224.70075659993577
39,2018,April,Sunday,Morning,Rural,Main Road,Foggy,329.55633796231297,2,50,18-25,Male,0.1789834914919743,1,Moderate,0,1,Severe,10,2,50.717548949652624,3266.1954472728244,Icy,Drunk Driving,0,30778.345048542687,8678.457121056468,Asia,2167.666880843516
52,2017,December,Tuesday,Morning,Rural,Highway,Clear,178.99178945676698,1,110,18-25,Female,0.0267115202461969,0,Moderate,1,0,Severe,8,2,56.79471586337953,7028.921228407909,Dry,Mechanical Failure,4,24319.66751969566,92788.4401127284,South America,889.7473596886099
53,2011,April,Sunday,Night,Urban,Main Road,Snowy,293.5752651740943,4,65,26-40,Male,0.0864483508906451,0,Poor,0,1,Moderate,12,2,33.65241302864226,8260.980759111848,Icy,Weather,3,35865.890671051195,9117.443526504216,North America,2008.0621167841016
56,2003,January,Sunday,Evening,Rural,Street,Clear,75.00072512053603,3,38,41-60,Male,0.0680098403410036,0,Moderate,1,0,Minor,10,3,33.39802441686308,3054.015006222159,Icy,Distracted Driving,2,20665.44383472982,29139.795935377533,Asia,374.1747457094944
67,2002,September,Monday,Afternoon,Rural,Highway,Foggy,166.96965524879693,4,58,18-25,Male,0.2442718015502368,1,Poor,0,0,Severe,17,4,37.998715929550826,617.5754688567047,Dry,Speeding,2,31314.04831799446,87880.31141843299,Australia,2526.6290507401086
73,2008,September,Wednesday,Morning,Rural,Street,Foggy,281.0383062282232,1,49,18-25,Male,0.1473947632550399,0,Poor,2,1,Severe,12,2,35.995331094059964,7782.406239167832,Wet,Weather,4,24138.632789955525,74636.18490226264,South America,1077.2233687898247
85,2022,December,Tuesday,Night,Rural,Main Road,Snowy,121.97533438491106,4,91,<18,Female,0.0678728739556976,0,Poor,0,2,Minor,2,1,29.50629563908281,2357.059718233559,Wet,Speeding,6,34885.58574887176,29594.185992615192,Australia,587.9279544071221
127,2022,March,Sunday,Morning,Urban,Street,Rainy,240.93770994879628,2,115,<18,Male,0.2436235847907717,0,Moderate,1,1,Moderate,0,1,55.02381523476862,5120.812930686328,Icy,Distracted Driving,8,36116.0515631033,70273.59228631701,North America,3727.199455265477
153,2006,April,Monday,Night,Urban,Highway,Windy,438.16330297087546,1,30,26-40,Female,0.0517501759032481,0,Poor,2,1,Severe,16,1,49.505531782313575,8891.670338518607,Icy,Drunk Driving,3,10240.293802163378,78415.13462846799,Australia,3956.246358825811
159,2005,May,Tuesday,Night,Urban,Street,Windy,377.2506363650624,3,101,<18,Female,0.0470093573548333,1,Moderate,2,2,Moderate,1,4,23.62600239421805,6539.669695638208,Snow-covered,Distracted Driving,5,22482.493301079758,32981.84212546758,Asia,3980.043977074426
169,2008,October,Wednesday,Night,Urban,Main Road,Foggy,227.58902612135367,3,46,18-25,Male,0.0402431533168006,1,Moderate,0,2,Severe,2,3,36.33567274444413,9016.127585961867,Wet,Drunk Driving,8,40612.326530360544,74895.67510604618,Europe,2977.0077248424664
195,2003,February,Monday,Morning,Urban,Street,Rainy,326.82581104789534,4,40,18-25,Male,0.0121935777874037,0,Moderate,0,2,Severe,11,3,39.097824811612384,6580.19684603816,Wet,Mechanical Failure,3,5549.142830484577,46108.82513246801,North America,1274.75225948437
199,2014,November,Sunday,Night,Rural,Street,Snowy,221.92763289947897,2,43,61+,Female,0.0482784835938218,1,Moderate,1,2,Minor,3,0,43.70905702216176,6503.489375366295,Icy,Mechanical Failure,9,25019.51417324642,98186.83010632273,North America,2315.1512393277453
