,Year,Month,Day of Week,Time of Day,Urban/Rural,Road Type,Weather Conditions,Visibility Level,Number of Vehicles Involved,Speed Limit,Driver Age Group,Driver Gender,Driver Alcohol Level,Driver Fatigue,Vehicle Condition,Pedestrians Involved,Cyclists Involved,Accident Severity,Number of Injuries,Number of Fatalities,Emergency Response Time,Traffic Volume,Road Condition,Accident Cause,Insurance Claims,Medical Cost,Economic Loss,Region,Population Density
0,2002,October,Tuesday,Evening,Rural,Street,Windy,220.4146505416504,1,37,18-25,Male,0.0519211977366355,0,Poor,1,2,Moderate,8,2,58.62572027989757,7412.752760172099,Wet,Weather,4,40499.85698166296,22072.878501505744,Europe,3866.2730140819913
2,2012,July,Sunday,Afternoon,Urban,Highway,Snowy,341.2865059843754,4,62,41-60,Male,0.1423656028392793,0,Moderate,0,0,Moderate,13,4,42.37445240680851,9856.915064331828,Wet,Speeding,4,29164.412981946545,58009.14512447671,South America,4408.889128578951
7,2016,July,Friday,Afternoon,Rural,Main Road,Foggy,75.60868773465776,3,61,26-40,Male,0.0516108625275244,0,Good,1,1,Minor,6,2,46.74036668244913,6061.407001697918,Dry,Speeding,8,4262.75562065268,70652.22351743939,South America,408.2964527925948
9,2007,April,Monday,Evening,Urban,Highway,Foggy,443.9654082345454,3,74,18-25,Male,0.0976205287327644,1,Moderate,1,0,Minor,2,3,44.69335545889247,1140.4293077850557,Snow-covered,Distracted Driving,0,15801.190075812112,61948.862751173176,Australia,1840.206143120973
11,2014,September,Wednesday,Evening,Rural,Main Road,Snowy,132.27656240641528,2,68,18-25,Male,0.2275167072102793,1,Good,2,1,Moderate,12,2,44.83845493800452,7656.412730974854,Dry,Weather,7,14081.492864001097,66882.13009237581,Europe,3889.407432419097
16,2010,October,Monday,Morning,Urban,Main Road,Rainy,264.6276856617341,4,36,41-60,Male,0.0066097106787544,0,Good,0,2,Minor,18,1,20.341096922313767,6887.7491701856525,Dry,Distracted Driving,9,47749.010710590825,66730.51917346063,South America,2499.356900411556
25,2023,October,Wednesday,Night,Rural,Highway,Clear,114.04103647686551,1,61,18-25,Female,0.0433962612620743,1,Good,2,2,Severe,11,1,9.795661107071222,3626.72895812965,Icy,Weather,4,10775.242511858818,7270.603500152212,South America,2618.63305956876
29,2014,October,Sunday,Evening,Rural,Main Road,Foggy,422.8080534351561,3,98,26-40,Male,0.1252199802016301,0,Good,0,1,Minor,11,1,20.89331930592497,358.44978245870703,Dry,Weather,1,3678.68502416884,58344.55508441151,Europe,2800.382157799202
30,2021,May,Saturday,Afternoon,Urban,Main Road,Foggy,464.38398446544034,1,114,26-40,Female,0.1340761317639595,1,Moderate,1,0,Minor,7,4,9.090028454783464,1156.5628658684482,Icy,Distracted Driving,9,38889.52826098472,98875.37202834943,North America,4685.903849118799
41,2013,October,Wednesday,Night,Rural,Main Road,Foggy,250.60328676722776,3,82,<18,Female,0.1807281530726542,1,Moderate,1,2,Moderate,3,3,46.44274228561631,5959.970048312585,Snow-covered,Distracted Driving,5,7228.104027033302,34374.76530376644,Europe,626.3157017415066
60,2017,January,Saturday,Morning,Urban,Street,Clear,426.6670680631376,1,72,41-60,Female,0.2202819338873534,0,Poor,2,1,Severe,13,4,48.04409382433815,8177.455616076271,Dry,Weather,3,41486.79256378773,24218.061230104933,Australia,1868.84818612246
74,2007,June,Thursday,Morning,Urban,Main Road,Clear,307.42478473146383,1,72,41-60,Male,0.070079257183721,1,Poor,2,2,Moderate,10,0,27.33106107874974,8178.425610384947,Wet,Weather,5,46684.28089937896,12944.907502954446,Europe,3722.695275175706
75,2021,June,Tuesday,Evening,Rural,Highway,Windy,403.23857165153527,3,94,61+,Male,0.1303751435980119,0,Poor,2,0,Moderate,7,4,10.933676001677796,1554.235668679288,Dry,Speeding,5,43004.98130938407,7463.715158672226,Asia,2764.2742220931686
80,2012,September,Sunday,Evening,Urban,Main Road,Rainy,405.935343873934,4,117,<18,Male,0.0739334765172108,1,Poor,1,2,Moderate,12,2,20.26322942202198,6412.651466597279,Icy,Weather,6,12008.36584176783,38912.66961546055,Australia,1596.6120620401027
83,2010,June,Saturday,Evening,Rural,Main Road,Rainy,173.87905199327048,3,80,18-25,Female,0.1998640058425091,0,Good,1,0,Minor,3,1,42.9303493876775,6541.314554100436,Dry,Distracted Driving,9,15385.646867916576,79668.91787610551,Australia,1902.179645986617
86,2010,June,Sunday,Morning,Rural,Highway,Foggy,435.62173332828206,2,117,26-40,Female,0.0547225129721979,1,Good,1,2,Moderate,0,1,19.41014181780067,4514.665678431376,Wet,Mechanical Failure,7,14367.865443045226,54471.51452898164,North America,1619.7932781221498
110,2005,December,Tuesday,Night,Urban,Highway,Rainy,422.6287677427299,4,56,<18,Female,0.0265150962184932,0,Poor,2,1,Moderate,6,2,15.846541195070644,1558.269842553383,Snow-covered,Speeding,0,18891.073322086948,78801.33194846824,North America,1836.0222832209297
123,2018,October,Thursday,Morning,Rural,Main Road,Foggy,260.05650099611114,4,40,61+,Male,0.1273329055562599,1,Good,2,0,Severe,18,4,52.64010697176084,370.493191648586,Wet,Distracted Driving,0,33781.51914212358,12011.240687198018,South America,4390.053307591971
124,2003,September,Thursday,Afternoon,Rural,Main Road,Foggy,267.5553701434208,1,32,26-40,Female,0.0524459037580067,0,Good,2,1,Minor,15,1,28.661084858946467,887.9732919860852,Dry,Drunk Driving,8,38195.164863318,83973.75969563589,Asia,785.035588644909
136,2004,April,Friday,Night,Rural,Street,Clear,456.1718020544549,4,76,18-25,Male,0.0467744403254963,1,Poor,1,1,Moderate,6,0,24.24899127762068,112.28664729280892,Dry,Speeding,5,26361.235336428752,98487.52127304838,Australia,4302.236987244921
142,2020,February,Sunday,Evening,Rural,Main Road,Rainy,240.21711195099255,1,82,61+,Male,0.1843076805854402,1,Moderate,2,2,Moderate,19,0,54.44321443220251,5371.949017604733,Icy,Mechanical Failure,7,33985.07618826657,83993.58467582146,South America,928.1460451368667
145,2014,August,Monday,Night,Urban,Street,Snowy,492.72117163555856,1,39,61+,Male,0.1855938282253456,0,Poor,2,1,Minor,13,0,57.560860168143975,6135.240766723495,Icy,Weather,4,22476.284764879983,14430.717467046436,Australia,105.61417879120448
151,2002,March,Wednesday,Morning,Rural,Street,Clear,284.7592411234597,2,78,26-40,Female,0.1794125385170229,1,Poor,2,0,Severe,6,0,52.91147970486243,5981.049313450808,Snow-covered,Weather,7,17507.97333186414,19292.92137119391,North America,1140.274953700666
157,2002,July,Saturday,Morning,Urban,Main Road,Foggy,377.6700768291526,1,97,18-25,Female,0.0688665863153714,0,Good,2,0,Moderate,1,2,22.333815851251973,1597.5720758053155,Dry,Distracted Driving,8,10629.586772463124,73531.27728141603,Asia,3246.6115004357384
180,2014,June,Wednesday,Evening,Urban,Main Road,Clear,291.4431157237343,3,64,<18,Male,0.0245874580617639,1,Moderate,1,1,Severe,3,4,20.06007073753,3140.3060438644675,Wet,Speeding,4,48798.22755391883,47285.53308176111,Asia,3870.175590031943
186,2000,August,Thursday,Morning,Urban,Main Road,Windy,168.66720903739977,3,117,61+,Male,0.2161187123336924,1,Moderate,0,2,Minor,2,3,58.1409267790872,847.5255278795906,Wet,Drunk Driving,8,1343.757739678636,96969.13103873012,North America,4101.712668740298
188,2003,November,Saturday,Afternoon,Rural,Street,Snowy,449.38204070297394,4,98,61+,Female,0.0819428457240752,1,Moderate,2,1,Minor,0,3,5.521070246665365,6267.351774878227,Snow-covered,Distracted Driving,5,19070.56431027087,8538.925500758745,South America,2763.1596141950386
189,2012,August,Sunday,Night,Rural,Main Road,Clear,184.6030801572996,2,51,26-40,Female,0.1614230576784422,1,Good,2,2,Minor,19,4,20.15538672314287,648.0466843048318,Wet,Distracted Driving,0,15831.74699507705,60121.678101713136,South America,409.7706623071703
208,2016,April,Friday,Afternoon,Urban,Street,Windy,445.7379146131009,1,45,41-60,Male,0.1969839543273393,1,Good,0,1,Moderate,11,2,18.79492863704269,9456.475980684752,Icy,Distracted Driving,6,39004.14170734861,5868.648320628896,North America,4377.11263309877
213,2005,April,Sunday,Night,Rural,Street,Snowy,139.07319445579628,1,89,41-60,Female,0.0521464985522989,1,Good,1,1,Moderate,17,1,11.990029928696789,7851.279510223508,Snow-covered,Speeding,6,16096.186748054924,29129.47525843345,Australia,1583.8141876489408
214,2020,January,Friday,Afternoon,Urban,Highway,Rainy,367.11958484626695,1,62,41-60,Female,0.0348313885813293,0,Poor,2,0,Moderate,16,4,14.173169001954111,8347.283778280653,Icy,Drunk Driving,8,25228.0471583951,39704.51623853255,Europe,2118.8490441531203
217,2005,March,Friday,Afternoon,Urban,Street,Clear,290.23116674990393,1,84,61+,Female,0.1013462223689689,0,Good,0,0,Moderate,2,0,56.534209674950205,7053.806986702624,Wet,Drunk Driving,5,5814.11317746817,10213.050721907344,Australia,2397.885814338468
